Code,Label,Description,Value example,Electronics & Appliances/Phones/Mobile Phones
category,Category,Your category path should clearly represent the product type. Use of 'other' or incorrect category paths may result in product rejection.,Electronics & Appliances/Phones/Mobile Phones,REQUIRED
internal-sku,Internal SKU,"A unique identifier for each product, assigned by you.",,REQUIRED
title,Product title,"Your title should be a descriptive and accurate alphanumeric string;  A maximum of 155 characters long and include information like Brand, Model, Manufacturer, Model Number, Product Name and Defining features.",,REQUIRED
product-reference-value,Product reference value,"The unique global identifier is the numeric value of the products barcode. 

The corresponding type (EAN/UPC/ISBN) is then placed in the product-reference-type column.

Barcode values are validated for correct formatting by Catch, therefore they must be accurate.",,OPTIONAL
product-reference-type,Product reference type,"Define here the 'type' of barcode relating to your product.  e.g. EAN or UPC. 

The corresponding value is then placed in the product-reference-value column.",EAN,OPTIONAL
product-description,Description,"A marketing/editorial style description, alongside dot-pointed; features, specifications, dimensions, package contents, warranty, and set-up instructions.

We accept basic HTML or Markdown language within this field.",,REQUIRED
brand,Brand,"The brand of the product. 
Shop names will only be accepted for products with visible branding.",,REQUIRED
condition,Condition,`,New,OPTIONAL
product-quantity-multiplier,Quantity multiplier,"Quantity of base SKU contained in the product (e.g. for 2-pack of SKU, quantity multiplier = 2). 

The data in this field should match that of the 'quantity-multiplier' field with the offer sector (blue headers) of your template/feed.

If this field is not populated, the default value of '1' will be applied.",5,OPTIONAL
colour,Colour,,,OPTIONAL
keywords,Keywords,"Words or phrases best describing your product for better search on the Catch site limited to 100 characters. 

The ""|"" character is to be used as the separator. E.g. For ""Blue|White|Red"", the separator is ""|"" (A ""space"" value will not be accepted).",womens dress|brand name|summer dresses|dress|maxi dress,RECOMMENDED
gender,Gender,,,NA
material,Material,,,OPTIONAL
variant-id,Variant ID,"The unique identifier used to group multiple SKUS onto one product page. Otherwise also known as the parent product ID. 

By assigning a variant-id, our system will treat the small, medium and large sku of a t-shirt as one product with three available sizes.

Variant ID attribute is equal to Variant Group Code attribute",,RECOMMENDED
variant-colour-value,Variant Colour Value,,,OPTIONAL
variant-size-value,Variant Size Value,,,OPTIONAL
