Reebelo RID,Product Name,Your SKU,SKU Condition,SKU Battery Health,Price,Min Price,Quantity
101121u7d247,Galaxy S24+ - Verizon - Onyx Black - Single Sim - 512GB Premium 90,1ea CELLR180823P,2,90,635.98,635.98,0
101121u7d247,Galaxy S24+ - Verizon - Onyx Black - Single Sim - 512GB Excellent 80,1ea CELLR180823,4,80,642.15,629.8,0
101121u7d247,Galaxy S24+ - Verizon - Onyx Black - Single Sim - 512GB Excellent 100,1ea CELLR180823BMP,4,100,642.15,642.15,0
101121v4t4w6,Galaxy S23 Ultra - AT&T - Cream - 8GB - Single Sim - 256GB Good 80,1ea CELLR179879,5,80,603.15,591.55,0
101121v4t4w6,Galaxy S23 Ultra - AT&T - Cream - 8GB - Single Sim - 256GB Acceptable 80,1ea CELLR179879-2,6,80,603.15,591.55,0
101121v4t4w6,Galaxy S23 Ultra - AT&T - Cream - 8GB - Single Sim - 256GB Good 100,1ea CELLR179879BMP,5,100,603.15,603.15,0
101121v4t4w6,Galaxy S23 Ultra - AT&T - Cream - 8GB - Single Sim - 256GB Excellent 80,1ea CELLR179877,4,80,623.95,611.95,0
101121v4t4w6,Galaxy S23 Ultra - AT&T - Cream - 8GB - Single Sim - 256GB Excellent 100,1ea CELLR179877BMP,4,100,623.95,623.95,0
101121v4t4w6,Galaxy S23 Ultra - AT&T - Cream - 8GB - Single Sim - 256GB Premium 90,1ea CELLR179878P,2,90,638.55,638.55,0
101121v4t4w6,Galaxy S23 Ultra - AT&T - Cream - 8GB - Single Sim - 256GB Excellent 80,1ea CELLR179878,4,80,644.75,632.35,0
101121v4t4w6,Galaxy S23 Ultra - AT&T - Cream - 8GB - Single Sim - 256GB Excellent 100,1ea CELLR179878BMP,4,100,644.75,644.75,0
101121v6e764,Galaxy S23 Ultra - Verizon - Cream - 8GB - Single Sim - 256GB Good 80,1ea CELLR179899,5,80,572.99,561.97,0
101121v6e764,Galaxy S23 Ultra - Verizon - Cream - 8GB - Single Sim - 256GB Acceptable 80,1ea CELLR179899-2,6,80,572.99,561.97,0
101121v6e764,Galaxy S23 Ultra - Verizon - Cream - 8GB - Single Sim - 256GB Good 100,1ea CELLR179899BMP,5,100,572.99,572.99,0
101121v6e764,Galaxy S23 Ultra - Verizon - Cream - 8GB - Single Sim - 256GB Excellent 80,1ea CELLR179897,4,80,592.75,581.35,0
101121v6e764,Galaxy S23 Ultra - Verizon - Cream - 8GB - Single Sim - 256GB Excellent 100,1ea CELLR179897BMP,4,100,592.75,592.75,0
101121v6e764,Galaxy S23 Ultra - Verizon - Cream - 8GB - Single Sim - 256GB Premium 90,1ea CELLR179898P,2,90,606.62,606.62,0
101121v6e764,Galaxy S23 Ultra - Verizon - Cream - 8GB - Single Sim - 256GB Excellent 80,1ea CELLR179898,4,80,612.51,600.73,0
101121v6e764,Galaxy S23 Ultra - Verizon - Cream - 8GB - Single Sim - 256GB Excellent 100,1ea CELLR179898BMP,4,100,612.51,612.51,0
101121v7l0d3,Galaxy S24+ - T-Mobile - Jade Green - Single Sim - 512GB Good 80,1ea CELLR180894,5,80,623.95,611.95,0
101121v7l0d3,Galaxy S24+ - T-Mobile - Jade Green - Single Sim - 512GB Acceptable 80,1ea CELLR180894-2,6,80,623.95,611.95,0
101121v7l0d3,Galaxy S24+ - T-Mobile - Jade Green - Single Sim - 512GB Good 100,1ea CELLR180894BMP,5,100,623.95,623.95,0
101121v7l0d3,Galaxy S24+ - T-Mobile - Jade Green - Single Sim - 512GB Excellent 80,1ea CELLR180892,4,80,655.15,642.55,0
101121v7l0d3,Galaxy S24+ - T-Mobile - Jade Green - Single Sim - 512GB Excellent 100,1ea CELLR180892BMP,4,100,655.15,655.15,0
101121v7l0d3,Galaxy S24+ - T-Mobile - Jade Green - Single Sim - 512GB Premium 90,1ea CELLR180893P,2,90,669.45,669.45,0
101121v7l0d3,Galaxy S24+ - T-Mobile - Jade Green - Single Sim - 512GB Excellent 80,1ea CELLR180893,4,80,675.95,662.95,0
101121v7l0d3,Galaxy S24+ - T-Mobile - Jade Green - Single Sim - 512GB Excellent 100,1ea CELLR180893BMP,4,100,675.95,675.95,0
101121w1n5v6,Galaxy S23 Ultra - AT&T - Red - 12GB - Single Sim - 512GB Good 80,1ea CELLR180054,5,80,623.95,611.95,0
101121w1n5v6,Galaxy S23 Ultra - AT&T - Red - 12GB - Single Sim - 512GB Acceptable 80,1ea CELLR180054-2,6,80,623.95,611.95,0
101121w1n5v6,Galaxy S23 Ultra - AT&T - Red - 12GB - Single Sim - 512GB Good 100,1ea CELLR180054BMP,5,100,623.95,623.95,0
101121w1n5v6,Galaxy S23 Ultra - AT&T - Red - 12GB - Single Sim - 512GB Excellent 80,1ea CELLR180052,4,80,655.15,642.55,0
101121w1n5v6,Galaxy S23 Ultra - AT&T - Red - 12GB - Single Sim - 512GB Excellent 100,1ea CELLR180052BMP,4,100,655.15,655.15,0
101121w1n5v6,Galaxy S23 Ultra - AT&T - Red - 12GB - Single Sim - 512GB Premium 90,1ea CELLR180053P,2,90,679.75,679.75,0
101121w1n5v6,Galaxy S23 Ultra - AT&T - Red - 12GB - Single Sim - 512GB Excellent 80,1ea CELLR180053,4,80,686.35,673.15,0
101121w1n5v6,Galaxy S23 Ultra - AT&T - Red - 12GB - Single Sim - 512GB Excellent 100,1ea CELLR180053BMP,4,100,686.35,686.35,0
101121w2c5e1,Galaxy S23 Ultra - T-Mobile - Red - 12GB - Single Sim - 512GB Good 80,1ea CELLR180069,5,80,623.95,611.95,0
101121w2c5e1,Galaxy S23 Ultra - T-Mobile - Red - 12GB - Single Sim - 512GB Acceptable 80,1ea CELLR180069-2,6,80,623.95,611.95,0
101121w2c5e1,Galaxy S23 Ultra - T-Mobile - Red - 12GB - Single Sim - 512GB Good 100,1ea CELLR180069BMP,5,100,623.95,623.95,0
101121w2c5e1,Galaxy S23 Ultra - T-Mobile - Red - 12GB - Single Sim - 512GB Excellent 80,1ea CELLR180067,4,80,655.15,642.55,0
