Reebelo RID,Product Name,Your SKU,SKU Condition,SKU Battery Health,Price,Min Price,Quantity
101117w5s6h2,Galaxy S22+ (5G) - T-Mobile - Green - Single Sim - 256GB Premium 90,1ea CELLR178118P,2,90,334.7,334.7,0
101117w5s6h2,Galaxy S22+ (5G) - T-Mobile - Green - Single Sim - 256GB Excellent 80,1ea CELLR178118,4,80,337.95,331.45,0
101117w5s6h2,Galaxy S22+ (5G) - T-Mobile - Green - Single Sim - 256GB Excellent 100,1ea CELLR178118BMP,4,100,337.95,337.95,0
101117w6x1f2,Galaxy S22+ (5G) - Verizon - Green - Single Sim - 256GB Good 80,1ea CELLR178124,5,80,286.47,280.96,0
101117w6x1f2,Galaxy S22+ (5G) - Verizon - Green - Single Sim - 256GB Acceptable 80,1ea CELLR178124-2,6,80,286.47,280.96,0
101117w6x1f2,Galaxy S22+ (5G) - Verizon - Green - Single Sim - 256GB Good 100,1ea CELLR178124BMP,5,100,286.47,286.47,0
101117w6x1f2,Galaxy S22+ (5G) - Verizon - Green - Single Sim - 256GB Excellent 80,1ea CELLR178122,4,80,306.23,300.34,0
101117w6x1f2,Galaxy S22+ (5G) - Verizon - Green - Single Sim - 256GB Excellent 100,1ea CELLR178122BMP,4,100,306.23,306.23,0
101117w6x1f2,Galaxy S22+ (5G) - Verizon - Green - Single Sim - 256GB Premium 90,1ea CELLR178123P,2,90,317.96,317.96,0
101117w6x1f2,Galaxy S22+ (5G) - Verizon - Green - Single Sim - 256GB Excellent 80,1ea CELLR178123,4,80,321.05,314.88,0
101117w6x1f2,Galaxy S22+ (5G) - Verizon - Green - Single Sim - 256GB Excellent 100,1ea CELLR178123BMP,4,100,321.05,321.05,0
101117x5r1e4,Galaxy S24 - AT&T - Jade Green - Single Sim - 512GB Good 80,1ea CELLR180529,5,80,561.55,550.75,0
101117x5r1e4,Galaxy S24 - AT&T - Jade Green - Single Sim - 512GB Acceptable 80,1ea CELLR180529-2,6,80,561.55,550.75,0
101117x5r1e4,Galaxy S24 - AT&T - Jade Green - Single Sim - 512GB Good 100,1ea CELLR180529BMP,5,100,561.55,561.55,0
101117x5r1e4,Galaxy S24 - AT&T - Jade Green - Single Sim - 512GB Excellent 80,1ea CELLR180527,4,80,582.35,571.15,0
101117x5r1e4,Galaxy S24 - AT&T - Jade Green - Single Sim - 512GB Excellent 100,1ea CELLR180527BMP,4,100,582.35,582.35,0
101117x5r1e4,Galaxy S24 - AT&T - Jade Green - Single Sim - 512GB Premium 90,1ea CELLR180528P,2,90,597.35,597.35,0
101117x5r1e4,Galaxy S24 - AT&T - Jade Green - Single Sim - 512GB Excellent 80,1ea CELLR180528,4,80,603.15,591.55,0
101117x5r1e4,Galaxy S24 - AT&T - Jade Green - Single Sim - 512GB Excellent 100,1ea CELLR180528BMP,4,100,603.15,603.15,0
