item_sku,external_product_id,external_product_id_type,item_name,brand_name,manufacturer,feed_product_type,update_delete,standard_price,quantity,product_tax_code,product_site_launch_date,restock_date,fulfillment_latency,item_condition,main_image_url,swatch_image_url,other_image_url1,other_image_url2,other_image_url3,item_type,model,part_number,bullet_point1,bullet_point2,bullet_point3,bullet_point4,bullet_point5,generic_keywords,product_description,wattage,connectivity_technology,included_components,material_type,included_features,warranty_description,warranty_type,is_portable,power_source_type,number_of_items,battery_type,are_batteries_included
1ea CELLR178118P,123456789012,UPC,Galaxy S22+ (5G) - T-Mobile - Green - Single Sim - 256GB Premium 90,Samsung,Samsung,Electronics,Update,334.7,0,,2023-10-01,2023-10-15,2,Used - Like New,,,,,,Smartphone,Galaxy S22+,CELLR178118P,5G connectivity,256GB storage,Single Sim,Green color,T-Mobile network,smartphone,High-performance smartphone with premium features,,5G,Charger,Plastic,Premium build,1 year warranty,Manufacturer warranty,Yes,Battery,1,Lithium Ion,Yes
1ea CELLR178118,123456789013,UPC,Galaxy S22+ (5G) - T-Mobile - Green - Single Sim - 256GB Excellent 80,Samsung,Samsung,Electronics,Update,337.95,0,,2023-10-01,2023-10-15,4,Used - Very Good,,,,,,Smartphone,Galaxy S22+,CELLR178118,5G connectivity,256GB storage,Single Sim,Green color,T-Mobile network,smartphone,High-performance smartphone with excellent condition,,5G,Charger,Plastic,Excellent build,1 year warranty,Manufacturer warranty,Yes,Battery,1,Lithium Ion,Yes
1ea CELLR178118BMP,123456789014,UPC,Galaxy S22+ (5G) - T-Mobile - Green - Single Sim - 256GB Excellent 100,Samsung,Samsung,Electronics,Update,337.95,0,,2023-10-01,2023-10-15,4,Used - Very Good,,,,,,Smartphone,Galaxy S22+,CELLR178118BMP,5G connectivity,256GB storage,Single Sim,Green color,T-Mobile network,smartphone,High-performance smartphone with excellent condition,,5G,Charger,Plastic,Excellent build,1 year warranty,Manufacturer warranty,Yes,Battery,1,Lithium Ion,Yes
1ea CELLR178124,123456789015,UPC,Galaxy S22+ (5G) - Verizon - Green - Single Sim - 256GB Good 80,Samsung,Samsung,Electronics,Update,286.47,0,,2023-10-01,2023-10-15,5,Used - Good,,,,,,Smartphone,Galaxy S22+,CELLR178124,5G connectivity,256GB storage,Single Sim,Green color,Verizon network,smartphone,High-performance smartphone with good condition,,5G,Charger,Plastic,Good build,1 year warranty,Manufacturer warranty,Yes,Battery,1,Lithium Ion,Yes
1ea CELLR178124-2,123456789016,UPC,Galaxy S22+ (5G) - Verizon - Green - Single Sim - 256GB Acceptable 80,Samsung,Samsung,Electronics,Update,286.47,0,,2023-10-01,2023-10-15,6,Used - Acceptable,,,,,,Smartphone,Galaxy S22+,CELLR178124-2,5G connectivity,256GB storage,Single Sim,Green color,Verizon network,smartphone,High-performance smartphone with acceptable condition,,5G,Charger,Plastic,Acceptable build,1 year warranty,Manufacturer warranty,Yes,Battery,1,Lithium Ion,Yes
1ea CELLR178124BMP,123456789017,UPC,Galaxy S22+ (5G) - Verizon - Green - Single Sim - 256GB Good 100,Samsung,Samsung,Electronics,Update,286.47,0,,2023-10-01,2023-10-15,5,Used - Good,,,,,,Smartphone,Galaxy S22+,CELLR178124BMP,5G connectivity,256GB storage,Single Sim,Green color,Verizon network,smartphone,High-performance smartphone with good condition,,5G,Charger,Plastic,Good build,1 year warranty,Manufacturer warranty,Yes,Battery,1,Lithium Ion,Yes
1ea CELLR178122,123456789018,UPC,Galaxy S22+ (5G) - Verizon - Green - Single Sim - 256GB Excellent 80,Samsung,Samsung,Electronics,Update,306.23,0,,2023-10-01,2023-10-15,4,Used - Very Good,,,,,,Smartphone,Galaxy S22+,CELLR178122,5G connectivity,256GB storage,Single Sim,Green color,Verizon network,smartphone,High-performance smartphone with excellent condition,,5G,Charger,Plastic,Excellent build,1 year warranty,Manufacturer warranty,Yes,Battery,1,Lithium Ion,Yes
1ea CELLR178122BMP,123456789019,UPC,Galaxy S22+ (5G) - Verizon - Green - Single Sim - 256GB Excellent 100,Samsung,Samsung,Electronics,Update,306.23,0,,2023-10-01,2023-10-15,4,Used - Very Good,,,,,,Smartphone,Galaxy S22+,CELLR178122BMP,5G connectivity,256GB storage,Single Sim,Green color,Verizon network,smartphone,High-performance smartphone with excellent condition,,5G,Charger,Plastic,Excellent build,1 year warranty,Manufacturer warranty,Yes,Battery,1,Lithium Ion,Yes
1ea CELLR178123P,123456789020,UPC,Galaxy S22+ (5G) - Verizon - Green - Single Sim - 256GB Premium 90,Samsung,Samsung,Electronics,Update,317.96,0,,2023-10-01,2023-10-15,2,Used - Like New,,,,,,Smartphone,Galaxy S22+,CELLR178123P,5G connectivity,256GB storage,Single Sim,Green color,Verizon network,smartphone,High-performance smartphone with premium features,,5G,Charger,Plastic,Premium build,1 year warranty,Manufacturer warranty,Yes,Battery,1,Lithium Ion,Yes
1ea CELLR178123,123456789021,UPC,Galaxy S22+ (5G) - Verizon - Green - Single Sim - 256GB Excellent 80,Samsung,Samsung,Electronics,Update,321.05,0,,2023-10-01,2023-10-15,4,Used - Very Good,,,,,,Smartphone,Galaxy S22+,CELLR178123,5G connectivity,256GB storage,Single Sim,Green color,Verizon network,smartphone,High-performance smartphone with excellent condition,,5G,Charger,Plastic,Excellent build,1 year warranty,Manufacturer warranty,Yes,Battery,1,Lithium Ion,Yes
