item_sku,external_product_id,external_product_id_type,item_name,brand_name,manufacturer,feed_product_type,update_delete,standard_price,quantity,product_tax_code,product_site_launch_date,restock_date,fulfillment_latency,item_condition,main_image_url,swatch_image_url,other_image_url1,other_image_url2,other_image_url3,item_type,model,part_number,bullet_point1,bullet_point2,bullet_point3,bullet_point4,bullet_point5,generic_keywords,product_description,wattage,connectivity_technology,included_components,material_type,included_features,warranty_description,warranty_type,is_portable,power_source_type,number_of_items,battery_type,are_batteries_included
1ea CELLR178118P,,,,Galaxy S22+ (5G) - T-Mobile - Green - Single Sim - 256GB Premium 90,Samsung,Samsung,wireless_phone,Update,334.7,0,,,,,Used - Very Good,,,,,,,,,,,,,,,,,,,,,,,,,,
1ea CELLR178118,,,,Galaxy S22+ (5G) - T-Mobile - Green - Single Sim - 256GB Excellent 80,Samsung,Samsung,wireless_phone,Update,337.95,0,,,,,Used - Good,,,,,,,,,,,,,,,,,,,,,,,,,,
1ea CELLR178118BMP,,,,Galaxy S22+ (5G) - T-Mobile - Green - Single Sim - 256GB Excellent 100,Samsung,Samsung,wireless_phone,Update,337.95,0,,,,,Used - Good,,,,,,,,,,,,,,,,,,,,,,,,,,
1ea CELLR178124,,,,Galaxy S22+ (5G) - Verizon - Green - Single Sim - 256GB Good 80,Samsung,Samsung,wireless_phone,Update,286.47,0,,,,,Used - Acceptable,,,,,,,,,,,,,,,,,,,,,,,,,,
1ea CELLR178124-2,,,,Galaxy S22+ (5G) - Verizon - Green - Single Sim - 256GB Acceptable 80,Samsung,Samsung,wireless_phone,Update,286.47,0,,,,,Used - Acceptable,,,,,,,,,,,,,,,,,,,,,,,,,,
1ea CELLR178124BMP,,,,Galaxy S22+ (5G) - Verizon - Green - Single Sim - 256GB Good 100,Samsung,Samsung,wireless_phone,Update,286.47,0,,,,,Used - Acceptable,,,,,,,,,,,,,,,,,,,,,,,,,,
1ea CELLR178122,,,,Galaxy S22+ (5G) - Verizon - Green - Single Sim - 256GB Excellent 80,Samsung,Samsung,wireless_phone,Update,306.23,0,,,,,Used - Good,,,,,,,,,,,,,,,,,,,,,,,,,,
1ea CELLR178122BMP,,,,Galaxy S22+ (5G) - Verizon - Green - Single Sim - 256GB Excellent 100,Samsung,Samsung,wireless_phone,Update,306.23,0,,,,,Used - Good,,,,,,,,,,,,,,,,,,,,,,,,,,
1ea CELLR178123P,,,,Galaxy S22+ (5G) - Verizon - Green - Single Sim - 256GB Premium 90,Samsung,Samsung,wireless_phone,Update,317.96,0,,,,,Used - Very Good,,,,,,,,,,,,,,,,,,,,,,,,,,
1ea CELLR178123,,,,Galaxy S22+ (5G) - Verizon - Green - Single Sim - 256GB Excellent 80,Samsung,Samsung,wireless_phone,Update,321.05,0,,,,,Used - Good,,,,,,,,,,,,,,,,,,,,,,,,,,
1ea CELLR178123BMP,,,,Galaxy S22+ (5G) - Verizon - Green - Single Sim - 256GB Excellent 100,Samsung,Samsung,wireless_phone,Update,321.05,0,,,,,Used - Good,,,,,,,,,,,,,,,,,,,,,,,,,,
1ea CELLR180529,,,,Galaxy S24 - AT&T - Jade Green - Single Sim - 512GB Good 80,Samsung,Samsung,wireless_phone,Update,561.55,0,,,,,Used - Acceptable,,,,,,,,,,,,,,,,,,,,,,,,,,
1ea CELLR180529-2,,,,Galaxy S24 - AT&T - Jade Green - Single Sim - 512GB Acceptable 80,Samsung,Samsung,wireless_phone,Update,561.55,0,,,,,Used - Acceptable,,,,,,,,,,,,,,,,,,,,,,,,,,
1ea CELLR180529BMP,,,,Galaxy S24 - AT&T - Jade Green - Single Sim - 512GB Good 100,Samsung,Samsung,wireless_phone,Update,561.55,0,,,,,Used - Acceptable,,,,,,,,,,,,,,,,,,,,,,,,,,
1ea CELLR180527,,,,Galaxy S24 - AT&T - Jade Green - Single Sim - 512GB Excellent 80,Samsung,Samsung,wireless_phone,Update,582.35,0,,,,,Used - Good,,,,,,,,,,,,,,,,,,,,,,,,,,
1ea CELLR180527BMP,,,,Galaxy S24 - AT&T - Jade Green - Single Sim - 512GB Excellent 100,Samsung,Samsung,wireless_phone,Update,582.35,0,,,,,Used - Good,,,,,,,,,,,,,,,,,,,,,,,,,,
1ea CELLR180528P,,,,Galaxy S24 - AT&T - Jade Green - Single Sim - 512GB Premium 90,Samsung,Samsung,wireless_phone,Update,597.35,0,,,,,Used - Very Good,,,,,,,,,,,,,,,,,,,,,,,,,,
1ea CELLR180528,,,,Galaxy S24 - AT&T - Jade Green - Single Sim - 512GB Excellent 80,Samsung,Samsung,wireless_phone,Update,603.15,0,,,,,Used - Good,,,,,,,,,,,,,,,,,,,,,,,,,,
1ea CELLR180528BMP,,,,Galaxy S24 - AT&T - Jade Green - Single Sim - 512GB Excellent 100,Samsung,Samsung,wireless_phone,Update,603.15,0,,,,,Used - Good,,,,,,,,,,,,,,,,,,,,,,,,,,
1ea CELLR178729,,,,Galaxy S22 Ultra (5G) - AT&T - Phantom Black - Single Sim - 512GB Good 80,Samsung,Samsung,wireless_phone,Update,467.95,0,,,,,Used - Acceptable,,,,,,,,,,,,,,,,,,,,,,,,,,
1ea CELLR178729-2,,,,Galaxy S22 Ultra (5G) - AT&T - Phantom Black - Single Sim - 512GB Acceptable 80,Samsung,Samsung,wireless_phone,Update,467.95,0,,,,,Used - Acceptable,,,,,,,,,,,,,,,,,,,,,,,,,,
1ea CELLR178729BMP,,,,Galaxy S22 Ultra (5G) - AT&T - Phantom Black - Single Sim - 512GB Good 100,Samsung,Samsung,wireless_phone,Update,467.95,0,,,,,Used - Acceptable,,,,,,,,,,,,,,,,,,,,,,,,,,
1ea CELLR178727,,,,Galaxy S22 Ultra (5G) - AT&T - Phantom Black - Single Sim - 512GB Excellent 80,Samsung,Samsung,wireless_phone,Update,488.75,0,,,,,Used - Good,,,,,,,,,,,,,,,,,,,,,,,,,,
1ea CELLR178727BMP,,,,Galaxy S22 Ultra (5G) - AT&T - Phantom Black - Single Sim - 512GB Excellent 100,Samsung,Samsung,wireless_phone,Update,488.75,0,,,,,Used - Good,,,,,,,,,,,,,,,,,,,,,,,,,,
1ea CELLR178728P,,,,Galaxy S22 Ultra (5G) - AT&T - Phantom Black - Single Sim - 512GB Premium 90,Samsung,Samsung,wireless_phone,Update,504.65,0,,,,,Used - Very Good,,,,,,,,,,,,,,,,,,,,,,,,,,
1ea CELLR178728,,,,Galaxy S22 Ultra (5G) - AT&T - Phantom Black - Single Sim - 512GB Excellent 80,Samsung,Samsung,wireless_phone,Update,509.55,0,,,,,Used - Good,,,,,,,,,,,,,,,,,,,,,,,,,,
1ea CELLR178728BMP,,,,Galaxy S22 Ultra (5G) - AT&T - Phantom Black - Single Sim - 512GB Excellent 100,Samsung,Samsung,wireless_phone,Update,509.55,0,,,,,Used - Good,,,,,,,,,,,,,,,,,,,,,,,,,,
1ea CELLR177704,,,,Galaxy S22 (5G) - AT&T - Green - Single Sim - 256GB Good 80,Samsung,Samsung,wireless_phone,Update,259.95,0,,,,,Used - Acceptable,,,,,,,,,,,,,,,,,,,,,,,,,,
1ea CELLR177704-2,,,,Galaxy S22 (5G) - AT&T - Green - Single Sim - 256GB Acceptable 80,Samsung,Samsung,wireless_phone,Update,259.95,0,,,,,Used - Acceptable,,,,,,,,,,,,,,,,,,,,,,,,,,
1ea CELLR177704BMP,,,,Galaxy S22 (5G) - AT&T - Green - Single Sim - 256GB Good 100,Samsung,Samsung,wireless_phone,Update,259.95,0,,,,,Used - Acceptable,,,,,,,,,,,,,,,,,,,,,,,,,,
1ea CELLR177702,,,,Galaxy S22 (5G) - AT&T - Green - Single Sim - 256GB Excellent 80,Samsung,Samsung,wireless_phone,Update,280.75,0,,,,,Used - Good,,,,,,,,,,,,,,,,,,,,,,,,,,
1ea CELLR177702BMP,,,,Galaxy S22 (5G) - AT&T - Green - Single Sim - 256GB Excellent 100,Samsung,Samsung,wireless_phone,Update,280.75,0,,,,,Used - Good,,,,,,,,,,,,,,,,,,,,,,,,,,
