sku,product-id,product-id-type,price,minimum-seller-allowed-price,maximum-seller-allowed-price,quantity,condition-type,condition-note,ASIN-hint,title,product-tax-code,merchant-shipping-group,restock-date,handling-time
SMA-36456,364560001,1,1150.99,1100.99,1200.99,57,new,Brand new hp LsrJet Pro in blue with 64GB storage.,B08XYZ1234,"hp LsrJet Pro, blue, 64GB",A_GEN_NOTAX,Standard,2023-11-01,2
SMA-11295,112950002,1,921.52,871.52,971.52,29,new,Brand new bose qc35 in greem with 512 storage.,B08XYZ5678,"bose qc35, greem, 512",A_GEN_NOTAX,Standard,2023-11-01,2
SMA-25966,259660003,1,855.47,805.47,905.47,82,new,Brand new iphne X 128 in sliver with 512 storage.,B08XYZ9101,"iphne X 128, sliver, 512",A_GEN_NOTAX,Standard,2023-11-01,2
SMA-41578,415780004,1,888.63,838.63,938.63,98,new,Brand new keybord RGB in gred with 128GB storage.,B08XYZ1123,"keybord RGB, gred, 128GB",A_GEN_NOTAX,Standard,2023-11-01,2
SMA-80682,806820005,1,341.21,291.21,391.21,10,new,Brand new bose qc35 in sliver with 64GB storage.,B08XYZ3145,"bose qc35, sliver, 64GB",A_GEN_NOTAX,Standard,2023-11-01,2
SMA-33826,338260006,1,905.63,855.63,955.63,93,new,Brand new keybord RGB in whtie with 512 storage.,B08XYZ5167,"keybord RGB, whtie, 512",A_GEN_NOTAX,Standard,2023-11-01,2
SMA-61358,613580007,1,1204.29,1154.29,1254.29,25,new,Brand new samsang tab S9 in blue with 256 GB storage.,B08XYZ7189,"samsang tab S9, blue, 256 GB",A_GEN_NOTAX,Standard,2023-11-01,2
SMA-47395,473950008,1,1470.38,1420.38,1520.38,90,new,Brand new lenvo 24ich monit in gred with 128GB storage.,B08XYZ9202,"lenvo 24ich monit, gred, 128GB",A_GEN_NOTAX,Standard,2023-11-01,2
SMA-33321,333210009,1,555.19,505.19,605.19,17,new,Brand new samsang tab S9 in sliver with 512 storage.,B08XYZ1224,"samsang tab S9, sliver, 512",A_GEN_NOTAX,Standard,2023-11-01,2
SMA-72641,726410010,1,907.72,857.72,957.72,94,new,Brand new Dell inspirn 5000 in sliver with 128GB storage.,B08XYZ3246,"Dell inspirn 5000, sliver, 128GB",A_GEN_NOTAX,Standard,2023-11-01,2
SMA-56118,1234567890,1,729.57,700.0,750.0,71,new,Brand new Logitech M305 in silver color with 1TB storage.,B00EXAMPLE,"logiteh m305, sliver, 1TB",A_GEN_NOTAX,Standard,2023-11-01,2
SMA-85752,1234567891,1,1438.31,1400.0,1500.0,17,new,High-definition Web cam HD1080 in gold with 64GB storage.,B00EXAMPLE,"Web cm HD1080, gld, 64GB",A_GEN_NOTAX,Standard,2023-11-01,2
SMA-73781,1234567892,1,531.44,500.0,550.0,27,new,Logitech M305 in green-red color with 512GB storage.,B00EXAMPLE,"logiteh m305, gred, 512",A_GEN_NOTAX,Standard,2023-11-01,2
SMA-49633,1234567893,1,1450.84,1400.0,1500.0,12,new,Web cam HD1080 in black with 128GB storage.,B00EXAMPLE,"Web cm HD1080, black, 128GB",A_GEN_NOTAX,Standard,2023-11-01,2
SMA-14784,1234567894,1,1410.48,1350.0,1450.0,62,new,HP LaserJet Pro in black with 256GB storage.,B00EXAMPLE,"hp LsrJet Pro, black, 256 GB",A_GEN_NOTAX,Standard,2023-11-01,2
SMA-45186,1234567895,1,532.07,500.0,550.0,56,new,Lenovo 24-inch monitor in white with 1TB storage.,B00EXAMPLE,"lenvo 24ich monit, whtie, 1TB",A_GEN_NOTAX,Standard,2023-11-01,2
SMA-98040,1234567896,1,357.69,350.0,400.0,82,new,Dell Inspiron 5000 in white with 1TB storage.,B00EXAMPLE,"Dell inspirn 5000, whtie, 1TB",A_GEN_NOTAX,Standard,2023-11-01,2
SMA-38792,1234567897,1,1158.96,1100.0,1200.0,9,new,Dell Inspiron 5000 in silver with 64GB storage.,B00EXAMPLE,"Dell inspirn 5000, sliver, 64GB",A_GEN_NOTAX,Standard,2023-11-01,2
SMA-64984,1234567898,1,95.31,90.0,100.0,83,new,Apple Watch Series 7 in white with 128GB storage.,B00EXAMPLE,"aple wach series7, whtie, 128GB",A_GEN_NOTAX,Standard,2023-11-01,2
SMA-97418,1234567899,1,917.99,900.0,950.0,4,new,Web cam HD1080 in black with 1TB storage.,B00EXAMPLE,"Web cm HD1080, black, 1TB",A_GEN_NOTAX,Standard,2023-11-01,2
