item_sku,external_product_id,external_product_id_type,item_name,brand_name,manufacturer,feed_product_type,update_delete,standard_price,quantity,product_tax_code,product_site_launch_date,restock_date,fulfillment_latency,item_condition,main_image_url,swatch_image_url,other_image_url1,other_image_url2,other_image_url3,item_type,model,part_number,bullet_point1,bullet_point2,bullet_point3,bullet_point4,bullet_point5,generic_keywords,product_description,wattage,connectivity_technology,included_components,material_type,included_features,warranty_description,warranty_type,is_portable,power_source_type,number_of_items,battery_type,are_batteries_included
SMA-43478,NA,NA,Web cm HD1080,NA,NA,NA,NA,1229.4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
unknown,NA,NA,unknown,NA,NA,misc,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SMA-22452,NA,NA,Dell Inspirn 5000,Dell,Dell,Electronics,Update,331.09,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Laptop,Inspirn 5000,NA,Black color,1TB storage,NA,NA,NA,laptop,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SMA-23651,NA,NA,Dell inspirn 5000,Dell,Dell,Electronics,Update,805.74,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Laptop,Inspirn 5000,NA,128GB Storage,NA,NA,NA,NA,laptop,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,Apple Watch Series 7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Smartwatch,Series 7,NA,Stylish design,High-quality materials,Advanced features,Lightweight,Health and fitness tracking,NA,NA,NA,NA,NA,glass,NA,NA,NA,NA,NA,NA,NA,NA
SMA-47600,NA,NA,Apple Watch Series 7 - 64GB - Blue,Apple,Apple,Electronics,Update,450.42,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Smartwatch,Series 7,NA,64GB storage,Blue color,NA,NA,NA,smartwatch,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SMA-37870,,,Bose QC35,Bose,Bose,Electronics,Update,1307.13,93,,,,,NA,,,,,,Headphones,QC35,SMA-37870,Wireless,White color,1TB storage,Noise-cancelling,High-quality sound,headphones,High-quality wireless headphones with noise-cancelling technology,,Wireless,NA,NA,"Noise-cancelling, High-quality sound",NA,NA,Yes,Battery,1,Lithium Ion,Yes
SMA-91461,NA,NA,hp LaserJet Pro,hp,hp,Electronics,NA,1362.88,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Printer,LaserJet Pro,NA,Blue color,64GB storage,NA,NA,NA,printer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SMA-21076,NA,NA,Web cm HD1080,NA,NA,NA,NA,995.14,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Color: sliver,Storage: 256 GB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SMA-35714,NA,NA,keybord RGB,NA,NA,NA,NA,1476.23,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SMA-43254,NA,NA,Web cm HD1080,NA,NA,NA,NA,1148.42,82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SMA-71343,NA,NA,logiteh m305,NA,NA,NA,NA,866.25,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SMA-24042,NA,NA,keybord RGB,NA,NA,NA,NA,1331.9,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,blue,128GB storage,NA,NA,NA,"keyboard, RGB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SMA-86113,NA,NA,lenovo 24-inch Monitor,Lenovo,Lenovo,Electronics,Update,1046.4,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Monitor,NA,NA,Blue color,256 GB storage,NA,NA,NA,monitor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SMA-93328,NA,NA,Apple Watch Series 7 - 256GB White,Apple,Apple,Electronics,Update,906.44,25,,,,,new,,,,,,Smartwatch,Series 7,NA,256GB storage,White color,NA,NA,NA,smartwatch,High-performance smartwatch with 256GB storage,,Bluetooth,Charger,NA,NA,1 year warranty,Manufacturer warranty,Yes,Battery,1,Lithium Ion,Yes
SMA-70949,NA,NA,Web cm HD1080,NA,NA,NA,NA,831.76,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Color: gred,Storage: 128GB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SMA-60423,NA,NA,Samsang Tab S9,Samsang,Samsang,Electronics,Update,444.33,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tablet,Tab S9,NA,128GB Storage,Red Color,NA,NA,NA,tablet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,hp LsrJet Pro,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Printer,LsrJet Pro,NA,High-quality printing,Compact design,Lightweight,Durable,Versatile,NA,High-performance laser printer with compact and durable design,,USB,Printer,metal,High-quality printing,1 year warranty,Manufacturer warranty,No,Corded Electric,1,,
