item_sku,external_product_id,external_product_id_type,item_name,brand_name,manufacturer,feed_product_type,update_delete,standard_price,quantity,product_tax_code,product_site_launch_date,restock_date,fulfillment_latency,item_condition,main_image_url,swatch_image_url,other_image_url1,other_image_url2,other_image_url3,item_type,model,part_number,bullet_point1,bullet_point2,bullet_point3,bullet_point4,bullet_point5,generic_keywords,product_description,wattage,connectivity_technology,included_components,material_type,included_features,warranty_description,warranty_type,is_portable,power_source_type,number_of_items,battery_type,are_batteries_included
SMA-36456,,,hp LsrJet Pro,,,,,1150.99,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMA-11295,,,Bose QC35,Bose,,,,921.52,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMA-25966,,,iPhone X 128GB Silver,Apple,,phone,,855.47,82,,,,,,,,,,,,iPhone X,,128GB Storage,Silver Color,,,,,,,,,,,,,,,,,
SMA-41578,,,keybord RGB,,,,,888.63,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMA-80682,,,Bose QC35,Bose,,,,341.21,10,,,,,,,,,,,,,,Color: Silver,Storage: 64GB,,,,,,,,,,,,,,,,,
SMA-33826,,,keybord RGB,,,,,905.63,93,,,,,,,,,,,keyboard,,,,,,,,,,,,,,,,,,,,,
SMA-61358,,,Samsang Tab S9,Samsung,,,,1204.29,25,,,,,,,,,,,tablet,,,Color: Blue,Storage: 256 GB,,,,,,,,,,,,,,,,,
SMA-47395,,,Lenovo 24 Inch Monitor,Lenovo,,,,1470.38,90,,,,,,,,,,,monitor,,,,,,,,,,,,,,,,,,,,,
SMA-33321,,,samsang tab S9,Samsung,,,,555.19,17,,,,,,,,,,,,Tab S9,,Color: Sliver,Storage: 512GB,,,,,,,,,,,,,,,,,
SMA-72641,,,Dell inspirn 5000,Dell,,,,907.72,94,,,,,,,,,,,laptop,Inspiron 5000,,Color: Silver,Storage: 128GB,,,,,,,,,,,,,,,,,
SMA-56118,,,Logitech M305,Logitech,,,,729.57,71,,,,,,,,,,,,M305,,Color: Silver,Storage: 1TB,,,,,,,,,,,,,,,,,
SMA-85752,,,Web cm HD1080,,,,,1438.31,17,,,,,,,,,,,webcam,,,Color: Gold,Storage: 64GB,,,,,,,,,,,,,,,,,
SMA-73781,,,Logitech M305,Logitech,,,,531.44,27,,,,,,,,,,,mouse,,,,,,,,,,,,,,,,,,,,,
SMA-49633,,,Web cm HD1080,,,,,1450.84,12,,,,,,,,,,,webcam,,,,,,,,,,,,,,,,,,,,,
SMA-14784,,,hp LsrJet Pro,HP,,,,1410.48,62,,,,,,,,,,,printer,,,Color: black,Storage: 256 GB,,,,,,,,,,,,,,,,,
SMA-45186,,,Lenovo 24-inch Monitor,Lenovo,,,,532.07,56,,,,,,,,,,,monitor,,,,,,,,,,,,,,,,,,,,,
SMA-98040,,,Dell Inspiron 5000,Dell,,,,357.69,82,,,,,,,,,,,laptop,,,Color: White,Storage: 1TB,,,,,,,,,,,,,,,,,
SMA-38792,,,Dell Inspiron 5000,Dell,,,,1158.96,9,,,,,,,,,,,laptop,Inspiron 5000,,,,,,,,,,,,,,,,,,,,
SMA-64984,,,Apple Watch Series 7,Apple,,,,95.31,83,,,,,,,,,,,watch,,,128GB storage,White color,,,,,,,,,,,,,,,,,
SMA-97418,,,Web cm HD1080,,,,,917.99,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
