item_sku,external_product_id,external_product_id_type,item_name,brand_name,manufacturer,feed_product_type,update_delete,standard_price,quantity,product_tax_code,product_site_launch_date,restock_date,fulfillment_latency,item_condition,main_image_url,swatch_image_url,other_image_url1,other_image_url2,other_image_url3,item_type,model,part_number,bullet_point1,bullet_point2,bullet_point3,bullet_point4,bullet_point5,generic_keywords,product_description,wattage,connectivity_technology,included_components,material_type,included_features,warranty_description,warranty_type,is_portable,power_source_type,number_of_items,battery_type,are_batteries_included
HEA-24769,,,Samsung Galaxy Tab S9 - 1TB - Blue,Samsung,Samsung,Electronics,Update,355.37,92.0,,,,,new,,,,,,Tablet,Galaxy Tab S9,,1TB Storage,Blue Color,,,,tablet,High-performance tablet with 1TB storage and blue color,,,,,,,,Yes,,,,
HEA-47122,,,iPhone X 128GB,Apple,Apple,Electronics,Update,710.82,96.0,,,,,new,,,,,,Smartphone,iPhone X,,128GB Storage,White Color,,,,smartphone,High-performance smartphone with 128GB storage,,4G,Phone,Glass and Metal,Face ID,1 year warranty,Manufacturer warranty,Yes,Battery,1,Lithium Ion,Yes
HEA-48134,,,Logitech M305 Wireless Mouse - White - 1TB,Logitech,Logitech,Electronics,Update,270.93,79.0,,,,,new,,,,,,Electronics,M305,,Wireless mouse,White color,1TB storage,,,"mouse, wireless mouse, Logitech",High-quality wireless mouse with 1TB storage capacity,,Wireless,,,,,,Yes,,1,,
HEA-82494,,,HP LaserJet Pro - 1TB - Gred,HP,HP,Electronics,Update,1348.49,79.0,,,,,new,,,,,,Printer,LaserJet Pro,,1TB Storage,Gred Color,,,,printer,High-quality HP LaserJet Pro printer with 1TB storage capacity,,,,,,1 year warranty,Manufacturer warranty,No,,1,,
HEA-18661,,,Web cm HD1080 - Gold - 128GB,NA,NA,Electronics,Update,769.99,68.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Web cm HD1080,NA,Gold color,128GB storage,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HEA-42034,,,keybord RGB - greem - 1TB,NA,NA,NA,NA,434.12,83.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RGB backlighting,1TB storage,NA,NA,NA,"keyboard, RGB, 1TB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ID7047,ID7047,SKU,Gold 1TB Storage,NA,NA,NA,Update,294.63,4.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Gold color,1TB storage,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HEA-20331,,,Logitech M305 Wireless Mouse,Logitech,Logitech,Electronics,Update,309.04,42.0,,,,,new,,,,,,Electronics,M305,,Wireless mouse,Color: Silver,64GB storage,Compact design,Easy to use,"wireless mouse, Logitech, M305, 64GB",The Logitech M305 Wireless Mouse is a compact and easy-to-use mouse with 64GB of storage. It features a sleek silver color and is perfect for everyday use.,,Wireless,,Plastic,Compact design,1 year warranty,Manufacturer warranty,Yes,Battery,1,Lithium Ion,Yes
HEA-96865,NA,NA,hp LsrJet Pro,HP,HP,Electronics,Update,541.76,8.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Printer,LaserJet Pro,NA,Color: Greem,Storage: 512GB,NA,NA,NA,"printer, hp printer, LaserJet Pro",High-quality HP LaserJet Pro printer with 512GB storage,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HEA-37472,NA,NA,Samsang Tab S9 - 128GB - Blue,Samsang,Samsang,Electronics,Update,1237.66,39.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tablet,Tab S9,NA,128GB Storage,Blue Color,NA,NA,NA,tablet,High-performance tablet with 128GB storage and blue color,NA,NA,NA,NA,NA,NA,NA,Yes,Battery,1,Lithium Ion,Yes
HEA-73801,,,hp LsrJet Pro - 256GB,HP,HP,Electronics,Update,303.69,100.0,,,,,new,,,,,,Laser Printer,LsrJet Pro,,256GB Storage,Color: Gred,,,,printer,High-quality laser printer with 256GB storage,,,,,,,,,,,,
HEA-46551,,,hp LsrJet Pro,HP,HP,Electronics,Update,1311.66,91.0,,,,,new,,,,,,Laser Printer,LsrJet Pro,,Color: White,Storage: 1TB,,,,"printer, laser printer, hp printer",High-quality HP LsrJet Pro printer with 1TB storage capacity,,Wireless,,NA,High-quality printing,1 year warranty,Manufacturer warranty,No,Corded Electric,1,,No
HP001,,,hp LsrJet Pro,HP,HP,Electronics,Update,,,,,,,new,,,,,,,LaserJet Pro,,High-quality printing,Compact design,Wireless connectivity,Professional printing,Fast printing,printer,"The HP LaserJet Pro delivers high-quality, professional printing in a compact and wireless design. It offers fast and reliable printing for professional documents.",,,,Plastic,Wireless connectivity,1 year warranty,Manufacturer warranty,No,Electric,1,,No
HEA-42667,NA,NA,Logitech M305 Wireless Mouse,Logitech,Logitech,Electronics,Update,1291.46,47.0,NA,NA,NA,NA,new,NA,NA,NA,NA,NA,Mouse,M305,NA,Wireless connectivity,Silver color,128GB storage,NA,NA,wireless mouse,High-quality wireless mouse with 128GB storage,NA,Wireless,NA,NA,NA,NA,NA,Yes,Battery,1,NA,Yes
ID7890,1234567890,UPC,Gold 1TB Storage,NA,NA,Electronics,Update,242.16,33.0,NA,2023-10-01,2023-10-15,2,New,NA,NA,NA,NA,NA,Storage,NA,NA,Gold color,1TB storage,NA,NA,NA,storage device,High-capacity storage device with 1TB memory,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
HEA-49012,,,Apple iPhone X 128GB Gold,Apple,Apple,Electronics,Update,952.77,96,,,,,new,,,,,,Smartphone,iPhone X,,128GB Storage,Gold Color,,,,smartphone,High-performance smartphone with 128GB storage and gold color,,4G,Charger,Metal and Glass,"Face ID, Wireless Charging",1 year warranty,Manufacturer warranty,Yes,Battery,1,Lithium Ion,Yes
HEA-25143,NA,NA,Web cm HD1080 - Gold - 64GB,NA,NA,NA,NA,770.63,98.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Web cm HD1080,NA,64GB Storage,Gold Color,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HEA-33841,,,Web cm HD1080 - Sliver - 1TB,NA,NA,NA,NA,393.36,97.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Web cm HD1080,NA,1TB Storage,Sliver Color,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HEA-32601,,,iphne X 128 - gred - 64GB,Apple,Apple,Electronics,Update,368.44,89.0,,,,,new,,,,,,Smartphone,iPhone X,,64GB Storage,Color: Gred,High-quality smartphone,Apple iOS,Face ID security,smartphone,The iPhone X with 64GB storage in gred color. High-quality smartphone with Apple iOS and Face ID security.,,4G,Charger,Glass and Metal,Face ID security,1 year warranty,Manufacturer warranty,Yes,Battery,1,Lithium Ion,Yes
HEA-47025,,,Apple Watch Series 7 - Gold - 512GB,Apple,Apple,Wearable Technology,Update,1390.64,7.0,,,,,new,,,,,,Smartwatch,Series 7,,Gold color,512GB storage,Wearable technology,Apple brand,High-quality materials,smartwatch,The Apple Watch Series 7 in stunning gold color with 512GB storage capacity. This wearable technology from Apple offers high-quality materials and advanced features.,,"Bluetooth, Wi-Fi","Charger, Band","Aluminum, Ceramic",Advanced features,1 year warranty,Manufacturer warranty,Yes,Battery,1,Lithium Ion,Yes
HEA-24765,,,Bose QC35,Bose,Bose,Electronics,Update,1293.56,10.0,,,,,new,,,,,,Headphones,QC35,,Wireless Bluetooth,64GB Storage,Red Color,,,headphones,High-quality wireless headphones with 64GB storage and red color,,Bluetooth,,,,,,,,,,
HEA-42116,NA,NA,Web cm HD1080 - 256GB - Black,NA,NA,NA,Update,1279.84,2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Web cm HD1080,NA,256GB Storage,Black Color,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HEA-26672,NA,NA,hp LsrJet Pro - Blue - 128GB,HP,HP,Electronics,Update,567.27,59.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Printer,LsrJet Pro,NA,High-quality printing,Blue color,128GB storage,NA,NA,printer,High-performance laser printer with 128GB storage,NA,NA,NA,NA,NA,NA,NA,No,NA,1,NA,NA
HEA-68880,NA,NA,Dell Inspirn 5000 - Blue - 256GB,Dell,Dell,Electronics,Update,832.9,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Laptop,Inspirn 5000,NA,Blue color,256GB storage,NA,NA,NA,laptop,High-performance laptop with 256GB storage,NA,NA,NA,NA,NA,NA,NA,Yes,NA,1,NA,NA
HEA-49943,,,Apple Watch Series 7 - 128GB - Silver,Apple,Apple,Wearable Technology,Update,1305.95,76.0,,,,,new,,,,,,Smartwatch,Series 7,,128GB Storage,Silver Color,Water-resistant,Fitness and health tracking,Built-in GPS,"smartwatch, Apple Watch Series 7, 128GB, Silver","The Apple Watch Series 7 is a stylish and powerful smartwatch with 128GB of storage and a sleek silver design. It is water-resistant and equipped with fitness and health tracking features, as well as built-in GPS.",,"Bluetooth, Wi-Fi","Charger, Band","Aluminum, Glass","Health and fitness tracking, GPS, Water-resistant",1 year limited warranty,Manufacturer warranty,Yes,Battery,1,Lithium Ion,Yes
