item_sku,external_product_id,external_product_id_type,item_name,brand_name,manufacturer,feed_product_type,update_delete,standard_price,quantity,product_tax_code,product_site_launch_date,restock_date,fulfillment_latency,item_condition,main_image_url,swatch_image_url,other_image_url1,other_image_url2,other_image_url3,item_type,model,part_number,bullet_point1,bullet_point2,bullet_point3,bullet_point4,bullet_point5,generic_keywords,product_description,wattage,connectivity_technology,included_components,material_type,included_features,warranty_description,warranty_type,is_portable,power_source_type,number_of_items,battery_type,are_batteries_included
LAP-46823,NA,NA,samsang tab S9 - sliver - 256 GB,Samsung,Samsung,Electronics,Update,1086.49,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tablet,Tab S9,NA,256 GB storage,Sliver color,NA,NA,NA,tablet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LAP-20324,NA,NA,Dell inspirn 5000,Dell,Dell,Electronics,Update,383.06,94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Laptop,Inspirn 5000,NA,64GB Storage,Color: White,NA,NA,NA,laptop,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LAP-39219,NA,NA,Dell Inspirn 5000,Dell,Dell,NA,NA,1232.11,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Laptop,Inspirn 5000,NA,Blue color,1TB storage,NA,NA,NA,Dell laptop,High-performance laptop with 1TB storage,NA,NA,NA,NA,NA,NA,NA,Yes,NA,1,NA,NA
LAP-33608,NA,NA,hp LsrJet Pro,hp,hp,NA,NA,845.37,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Laptop,LsrJet Pro,NA,64GB Storage,Color: Silver,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LAP-89379,NA,NA,lenvo 24ich monit,Lenovo,Lenovo,Electronics,Update,927.63,26,,,,,new,,,,,,Monitor,24ich,,Black color,256 GB storage,,,,monitor,High-quality 24-inch monitor,,,,,,,,,,,,
LAP-53612,NA,NA,Bose QC35 - Black - 64GB,Bose,Bose,Electronics,Update,895.09,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Headphones,QC35,NA,High-quality sound,Wireless,Noise-cancelling,Black color,64GB storage,headphones,Premium wireless headphones with noise-cancelling technology,NA,Wireless,NA,NA,Noise-cancelling,NA,NA,Yes,Battery,1,Lithium Ion,Yes
LAP-13854,NA,NA,lenvo 24ich monit,Lenovo,Lenovo,Electronics,Update,865.48,31,,,,,new,,,,,,Monitor,24ich,,24-inch display,1TB storage,White color,,,monitor,High-quality monitor with 1TB storage capacity,,,,,,,,,,,,
LAP-98898,,,Web cm HD1080,,,,Update,1164.92,9,,,,,new,,,,,,Laptop,Web cm HD1080,,Color: gred,Storage: 1TB,,,,laptop,High-definition laptop with 1TB storage,,,,,,,,,,,,
NA,NA,NA,keybord RGB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Metal construction,14 cm height,821 g weight,RGB lighting,NA,"keyboard, RGB, metal, 14 cm, 821 g",NA,NA,NA,NA,metal,NA,NA,NA,NA,NA,NA,NA,NA
LAP-24540,NA,NA,Dell inspirn 5000,Dell,Dell,Electronics,Update,827.62,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Laptop,Inspirn 5000,NA,Color: gred,Storage: 64GB,NA,NA,NA,laptop,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
unknown,NA,NA,unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,misc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LAP-47411,NA,NA,Logitech M305 Wireless Mouse,Logitech,Logitech,Electronics,Update,1325.43,13,,,,,new,,,,,,Mouse,M305,,Wireless connectivity,Black color,512GB storage,,,"mouse, wireless mouse, Logitech M305",High-quality wireless mouse with 512GB storage,,Wireless,USB receiver,Plastic,Ergonomic design,1 year warranty,Manufacturer warranty,Yes,Battery,1,AA,Yes
LAP-64611,NA,NA,keybord RGB,NA,NA,NA,NA,558.1,86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sliver color,1TB storage,NA,NA,NA,"keyboard, RGB, 1TB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LAP-79054,NA,NA,Web cm HD1080,NA,NA,NA,NA,133.96,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Blue color,64GB storage,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LAP-78403,NA,NA,Dell inspirn 5000,Dell,Dell,Electronics,Update,410.55,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Laptop,Inspirn 5000,NA,Color: Gold,Storage: 512GB,NA,NA,NA,laptop,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LAP-63260,NA,NA,aple wach series7,Apple,Apple,NA,NA,325.47,27,NA,NA,NA,NA,new,NA,NA,NA,NA,NA,Smartwatch,Series 7,NA,1TB Storage,White color,,,,NA,High-performance smartwatch with 1TB storage,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LAP-68732,NA,NA,iphne X 128 - Black - 128GB,Apple,Apple,Electronics,Update,1278.83,20,NA,NA,NA,NA,New,NA,NA,NA,NA,NA,Smartphone,iPhone X,NA,Black color,128GB storage,NA,NA,NA,smartphone,High-performance smartphone with 128GB storage,NA,NA,NA,NA,NA,1 year warranty,Manufacturer warranty,Yes,Battery,1,Lithium Ion,Yes
LAP-47118,NA,NA,aple wach series7,Apple,Apple,Wearable Technology,Update,181.15,5,NA,NA,NA,NA,New,NA,NA,NA,NA,NA,Smartwatch,Watch Series 7,NA,Color: gred,Storage: 512GB,NA,NA,NA,"smartwatch, Apple Watch Series 7",High-quality smartwatch with advanced features,NA,"Bluetooth, Wi-Fi",Charger,NA,Advanced technology,1 year warranty,Manufacturer warranty,Yes,Battery,1,Lithium Ion,Yes
NA,NA,NA,lenvo 24ich monit,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Monitor,NA,NA,12 cm Height,1683 g Weight,Glass Material,NA,NA,NA,NA,NA,NA,NA,glass,NA,NA,NA,NA,NA,NA,NA,NA
LAP-49770,NA,NA,Web cm HD1080,NA,NA,NA,NA,1198.18,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,keybord RGB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Keyboard,NA,NA,Metal construction,11 cm height,1030 g weight,RGB lighting,NA,NA,High-quality RGB keyboard with metal construction,NA,NA,NA,metal,NA,NA,NA,NA,NA,NA,NA,NA
LAP-15270,NA,NA,iphne X 128,Apple,Apple,Electronics,Update,930.84,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Smartphone,iPhone X,NA,256 GB Storage,Red Color,NA,NA,NA,smartphone,High-performance smartphone with 256GB storage,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LAP-78519,NA,NA,lenvo 24ich monit,NA,NA,NA,NA,390.88,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Color: gld,Storage: 64GB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LAP-59598,NA,NA,lenvo 24ich monit,Lenovo,Lenovo,Electronics,Update,923.57,36,,,,,NA,,,,,,Monitor,24ich,NA,Green color,512GB storage,NA,NA,NA,monitor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
LAP-92916,,,Dell Inspirn 5000,Dell,Dell,Electronics,Update,1008.3,66,,,,,new,,,,,,Laptop,Inspirn 5000,,Color: Gold,Storage: 128GB,,,,laptop,High-performance laptop with 128GB storage,,,,,,1 year warranty,Manufacturer warranty,Yes,,1,,
