item_sku,external_product_id,external_product_id_type,item_name,brand_name,manufacturer,feed_product_type,update_delete,standard_price,quantity,product_tax_code,product_site_launch_date,restock_date,fulfillment_latency,item_condition,main_image_url,swatch_image_url,other_image_url1,other_image_url2,other_image_url3,item_type,model,part_number,bullet_point1,bullet_point2,bullet_point3,bullet_point4,bullet_point5,generic_keywords,product_description,wattage,connectivity_technology,included_components,material_type,included_features,warranty_description,warranty_type,is_portable,power_source_type,number_of_items,battery_type,are_batteries_included
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1ea CELLR178122,101117w6x1f2,Reebelo RID,Galaxy S22+ (5G) - Verizon - Green - Single Sim - 256GB Excellent 80,Samsung,Samsung,,,306.23,0,,,,,4,,,,,,,Galaxy S22+,,,,,,,,,,,,,,90-day warranty,,true,Battery,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1ea CELLR178123,101117w6x1f2,Reebelo RID,Galaxy S22+ (5G) - Verizon - Green - Single Sim - 256GB Excellent 80,Samsung,Samsung,,,321.05,0,,,,,4,,,,,,,Galaxy S22+,,,,,,,,,,,,,,90-day warranty,,true,Battery,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1ea CELLR180527,101117x5r1e4,,Galaxy S24 - AT&T - Jade Green - Single Sim - 512GB Excellent 80,,,,,582.35,0,,,,,4,,,,,,,,,,,,,,,,,,,,,90-day warranty,,true,Battery,,,
1ea CELLR180527BMP,101117x5r1e4,,Galaxy S24 - AT&T - Jade Green - Single Sim - 512GB Excellent 100,,,,,582.35,0,,,,,4,,,,,,,,,,,,,,,,,,,,,90-day warranty,,true,Battery,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1ea CELLR180528,101117x5r1e4,,Galaxy S24 - AT&T - Jade Green - Single Sim - 512GB Excellent 80,,,,,603.15,0,,,,,4,,,,,,,,,,,,,,,,,,,,,90-day warranty,,true,Battery,,,
1ea CELLR180528BMP,101117x5r1e4,Reebelo RID,Galaxy S24 - AT&T - Jade Green - Single Sim - 512GB Excellent 100,Samsung,Samsung,,,603.15,0,,,,,4,,,,,,,Galaxy S24,,,,,,,,,,,,,,90-day warranty,,true,Battery,,,
