item_sku,external_product_id,external_product_id_type,item_name,brand_name,manufacturer,feed_product_type,update_delete,standard_price,quantity,product_tax_code,product_site_launch_date,restock_date,fulfillment_latency,item_condition,main_image_url,swatch_image_url,other_image_url1,other_image_url2,other_image_url3,item_type,model,part_number,bullet_point1,bullet_point2,bullet_point3,bullet_point4,bullet_point5,generic_keywords,product_description,wattage,connectivity_technology,included_components,material_type,included_features,warranty_description,warranty_type,is_portable,power_source_type,number_of_items,battery_type,are_batteries_included
LAP-46823,NA,NA,Samsung Tab S9 - Silver - 256GB,Samsung,Samsung,Electronics,Update,1086.49,7,,NA,NA,NA,New,NA,NA,NA,NA,NA,Tablet,Tab S9,NA,256GB Storage,Silver Color,NA,NA,NA,tablet,High-performance tablet with 256GB storage,NA,NA,NA,NA,NA,NA,NA,Yes,Battery,1,Lithium Ion,Yes
LAP-20324,NA,NA,Dell Inspiron 5000,Dell,Dell,Electronics,Update,383.06,94,,,,,new,,,,,,Laptop,Inspiron 5000,NA,64GB Storage,White Color,NA,NA,NA,laptop,High-performance laptop with 64GB storage,,NA,NA,NA,NA,NA,NA,Yes,NA,1,NA,NA
LAP-39219,NA,NA,Dell Inspirn 5000,Dell,Dell,NA,NA,1232.11,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Laptop,Inspirn 5000,NA,Blue color,1TB storage,NA,NA,NA,laptop,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LAP-33608,NA,NA,hp LsrJet Pro,HP,HP,Electronics,Update,845.37,95,,NA,NA,NA,NA,NA,NA,NA,NA,NA,Laptop,LsrJet Pro,NA,Color: sliver,Storage: 64GB,NA,NA,NA,laptop,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LAP-89379,NA,NA,Lenovo 24-inch Monitor,Lenovo,Lenovo,Electronics,Update,927.63,26,,,,,NA,NA,NA,NA,NA,NA,Monitor,NA,NA,24-inch display,Black color,256 GB storage,NA,NA,monitor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LAP-53612,NA,NA,Bose QC35 - Black - 64GB,Bose,Bose,NA,NA,895.09,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,QC35,NA,High-quality sound,Noise-cancelling,64GB storage,Black color,NA,headphones,High-quality noise-cancelling headphones with 64GB storage,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LAP-13854,NA,NA,lenovo 24-inch Monitor,Lenovo,Lenovo,Electronics,Update,865.48,31,,NA,NA,NA,NA,NA,NA,NA,NA,NA,Monitor,NA,NA,24-inch display,White color,1TB storage,NA,NA,Monitor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LAP-98898,NA,NA,Web cm HD1080,NA,NA,NA,NA,1164.92,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Color: gred,Storage: 1TB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,keybord RGB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Keyboard,NA,NA,Metal construction,14 cm height,821 g weight,NA,NA,keyboard,NA,NA,NA,NA,metal,NA,NA,NA,NA,NA,NA,NA,NA
LAP-24540,NA,NA,Dell Inspiron 5000,Dell,Dell,Electronics,Update,827.62,73,,,,,NA,,,,,,Laptop,Inspiron 5000,NA,64GB Storage,NA,NA,Red Color,NA,laptop,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
unknown,unknown,unknown,unknown,unknown,unknown,misc,Update,,,,,,,NA,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LAP-47411,NA,NA,Logitech M305 Wireless Mouse,Logitech,Logitech,Electronics,Update,1325.43,13,,NA,NA,NA,New,NA,NA,NA,NA,NA,Mouse,M305,NA,Wireless connectivity,Black color,512GB storage,NA,NA,mouse,Logitech M305 Wireless Mouse with 512GB storage in black color,NA,Wireless,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
LAP-64611,NA,NA,keybord RGB - 1TB - Sliver,NA,NA,NA,NA,558.1,86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LAP-79054,NA,NA,Web cm HD1080 - Blue - 64GB,NA,NA,NA,NA,133.96,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LAP-78403,NA,NA,Dell inspirn 5000,Dell,Dell,Electronics,Update,410.55,23,,,,,NA,,,,,,Laptop,Inspirn 5000,NA,Color: Gold,Storage: 512GB,NA,NA,NA,laptop,NA,,NA,NA,NA,NA,NA,NA,Yes,NA,1,NA,NA
LAP-63260,NA,NA,Apple Watch Series 7,Apple,Apple,Electronics,Update,325.47,27,,2023-10-01,2023-10-15,2,New,NA,NA,NA,NA,NA,Smartwatch,Series 7,LAP-63260,1TB Storage,White Color,NA,NA,NA,smartwatch,High-performance smartwatch with 1TB storage,NA,NA,NA,NA,NA,1 year warranty,Manufacturer warranty,Yes,Battery,1,Lithium Ion,Yes
LAP-68732,NA,NA,iphne X 128 - Black - 128GB,Apple,Apple,Electronics,Update,1278.83,20,,NA,NA,NA,New,NA,NA,NA,NA,NA,Smartphone,iPhone X,NA,128GB Storage,Black Color,NA,NA,NA,smartphone,High-performance smartphone with 128GB storage,NA,NA,NA,NA,NA,NA,NA,Yes,Battery,1,Lithium Ion,Yes
LAP-47118,NA,NA,Apple Watch Series 7 - 512GB - Gred,Apple,Apple,Electronics,Update,181.15,5,,,,,NA,,,,,,Smartwatch,Series 7,NA,512GB Storage,Gred Color,NA,NA,NA,smartwatch,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
NA,NA,NA,lenvo 24ich monit,Lenovo,NA,NA,NA,NA,NA,NA,NA,NA,NA,new,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,glass,NA,1 year warranty,NA,NA,NA,NA,NA,NA
LAP-49770,NA,NA,Web cm HD1080,NA,NA,NA,NA,1198.18,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,keybord RGB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Keyboard,NA,NA,RGB lighting,,,,,NA,High-quality metal keyboard with RGB lighting,,,,metal,,,,,,,,
