item_sku,external_product_id,external_product_id_type,item_name,brand_name,manufacturer,feed_product_type,update_delete,standard_price,quantity,product_tax_code,product_site_launch_date,restock_date,fulfillment_latency,item_condition,main_image_url,swatch_image_url,other_image_url1,other_image_url2,other_image_url3,item_type,model,part_number,bullet_point1,bullet_point2,bullet_point3,bullet_point4,bullet_point5,generic_keywords,product_description,wattage,connectivity_technology,included_components,material_type,included_features,warranty_description,warranty_type,is_portable,power_source_type,number_of_items,battery_type,are_batteries_included
HEA-20331,,,Logitech M305 Wireless Mouse - Silver - 64GB,Logitech,Logitech,Electronics,Update,309.04,42.0,,,,,,,,,,,Electronics,M305,,Wireless connectivity,64GB storage,Silver color,,,"mouse, wireless mouse, Logitech M305","The Logitech M305 Wireless Mouse features a sleek silver design and 64GB storage capacity, providing a reliable and stylish computing accessory.",,Wireless,,,,,,,,,,
HEA-24769,,,Samsung Galaxy Tab S9 - Blue - 1TB,Samsung,Samsung,Electronics,Update,355.37,92.0,,,,,,,,,,,Tablet,Galaxy Tab S9,,1TB storage,Blue color,High-performance tablet,,,tablet,The Samsung Galaxy Tab S9 in blue offers 1TB of storage and high-performance features for a seamless user experience.,,,,,,,,,,,,
HEA-48134,,,Logitech M305 Wireless Mouse - White,Logitech,Logitech,Electronics,Update,270.93,79.0,,,,,,,,,,,Mouse,M305,,Wireless connectivity,White color,1TB storage,,,"mouse, wireless mouse, Logitech M305",The Logitech M305 Wireless Mouse in white color with 1TB storage provides a reliable and comfortable user experience. It is ideal for everyday use and travel.,,Wireless,,,,,,,,,,
HEA-42034,,,RGB Keyboard - 1TB Storage - Green,,,,,434.12,83.0,,,,,,,,,,,Keyboard,,,RGB lighting,1TB storage,Green color,,,"keyboard, RGB, 1TB, green",High-quality RGB keyboard with 1TB storage capacity and vibrant green color,,,,,,,,,,,,
ID7047,,,,,,,,294.63,4.0,,,,,,,,,,,Storage,Storage,ID7047,1TB storage,Gold color,,,,storage,High-capacity storage option,,,,Metal,,No warranty,Manufacturer warranty,No,,1,,No
HEA-82494,,,HP LaserJet Pro Printer,HP,HP,Electronics,Update,1348.49,79.0,,,,,,,,,,,Printer,LaserJet Pro,,High-quality printing,1TB storage,Color: Gred,Wireless connectivity,Energy-efficient,printer,The HP LaserJet Pro printer offers high-quality printing with 1TB storage capacity. It features wireless connectivity and is energy-efficient.,,Wireless,,,,,,No,,1,,
HEA-37472,,,Samsung Galaxy Tab S9 - 128GB - Blue,Samsung,Samsung,Electronics,Update,1237.66,39.0,,,,,,,,,,,Tablet,Galaxy Tab S9,,128GB storage,Blue color,,,,tablet,High-performance tablet with 128GB storage and a beautiful blue color,,,,,,,,,,,,
HEA-18661,,,Web cm HD1080 - Gold - 128GB,,,Electronics,Update,769.99,68.0,,,,,,,,,,,Camera,Web cm HD1080,,High Definition 1080p,Gold color,128GB storage,,,camera,High-definition 1080p web camera with 128GB storage,,,,,,,,,,,,
HEA-96865,,,HP LaserJet Pro Printer,HP,HP,Electronics,Update,541.76,8.0,,,,,,,,,,,Printer,LaserJet Pro,,High-quality printing,Green color,512GB storage,,,printer,High-performance HP LaserJet Pro printer with 512GB storage,,,,,,,,,,,,
HEA-47122,,,iPhone X 128GB White,Apple,Apple,Electronics,Update,710.82,96.0,,,,,,,,,,,Smartphone,iPhone X,,128GB storage,White color,,,,smartphone,High-performance smartphone with 128GB storage and white color,,4G,Charger,Glass and Metal,"Face ID, Super Retina Display",1 year warranty,Manufacturer warranty,Yes,Battery,1,Lithium Ion,Yes
,,,hp LsrJet Pro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,plastic,,,,,,,,
ID7890,ID7890,SKU,,,,,,242.16,33.0,,,,,,,,,,,Memory,Memory Option,ID7890,Gold color,1TB storage,,,,,High-quality memory option with 1TB storage,,,,,,,,,,,,
HEA-25143,,,Web cm HD1080 - Gold - 64GB,,,Electronics,,770.63,98.0,,,,,,,,,,,Camera,Web cm HD1080,,High Definition 1080p,64GB Storage,Gold Color,,,camera,High-definition camera with 64GB storage and gold color finish,,,,,,,,,,,,
HEA-42667,,,Logitech M305 Wireless Mouse - Silver - 128GB,Logitech,Logitech,Electronics,,1291.46,47.0,,,,,,,,,,,Mouse,M305,,Wireless functionality,Silver color,128GB storage,,,"mouse, wireless mouse, Logitech M305",The Logitech M305 Wireless Mouse provides reliable wireless connectivity and smooth navigation. It features a sleek silver design and offers 128GB of storage capacity.,,Wireless,,,,,,,,,,
HEA-49012,,,iPhone X 128GB Gold,Apple,Apple,Electronics,Update,952.77,96.0,,,,,,,,,,,Smartphone,iPhone X,,128GB storage,Gold color,,,,smartphone,High-performance smartphone with 128GB storage and gold color,,4G,,Glass and Metal,"Face ID, Super Retina Display",1 year Apple warranty,Manufacturer warranty,Yes,Battery,1,Lithium Ion,Yes
